state,year,pop_tot,pop_male_pcp,pop_white_pcp,pop_black_pcp,pop_hisp_pcp,empl_notinlabor_pcp,rentpct_median,rentpct_50plus_pcp,hmls_unshelt_pcp,hmls_shelt_pcp,shelter_beds_pcp,temp_degf,precip_in,illicit_pastmon_pcp,restriction,conservative,moderate,liberal,undecided,clusterpred
MI,2017,9962311,0.49258068735256305,0.7504818911997427,0.13798153862090834,0.05063062175031476,0.38531850100751297,29.2,0.23001566598174225,0.00010268701709874346,0.000805837119519758,0.0008656625957571491,25.2,2.78,0.11332711857720563,0,0.35,0.33,0.24,0.08,0
MI,2018,9995915,0.49288294268208566,0.7479102213254114,0.13773136326189248,0.05175924365103145,0.3848539387826374,29.3,0.22265000675449262,0.00008993673915794602,0.0007455045386040197,0.0008534486337668938,20,1.74,0.12184977563334622,0,0.35,0.33,0.24,0.08,0
MI,2019,9986857,0.4922374476774825,0.7466834660794682,0.13728733674668617,0.052666519606719114,0.38114292977209613,29,0.22194589278673854,0.00006628712116334498,0.0007923413742682008,0.0008641357335946635,16.8,2.29,0.13137266309110063,0,0.35,0.33,0.24,0.08,0
MN,2011,5344861,0.497014047699276,0.8272778281792548,0.05222624124369184,0.048118370150318224,0.29769189334002144,30.2,0.24087960660422955,0.00017362472101706668,0.0012286568350421087,0.0013046176504870753,5,1.05,0.06772860884501954,0,0.35,0.32,0.27,0.07,0
MN,2012,5379139,0.4964997186352686,0.8226119458894816,0.05338493762663504,0.04908313393649058,0.29860666235815253,29.2,0.220389201055157,0.0001840443238220838,0.0012555912758528828,0.0012788291955273883,18.4,0.56,0.06859833887914032,0,0.35,0.32,0.27,0.07,0
MN,2013,5420380,0.49640320420339534,0.818774698452876,0.054336965305015514,0.04923086573266081,0.3006723282139485,29,0.22134336228596443,0.00016880735299001177,0.0013465845568022905,0.0012906844169596966,11.4,1.01,0.06327969625745797,0,0.35,0.32,0.27,0.07,0
MN,2014,5457173,0.49711141647882523,0.8130605351891904,0.05725162093999952,0.05065626469968975,0.3033076081355697,29.3,0.231845637528223,0.00014567982360097435,0.0013893640535126888,0.0013442857684738967,2.3,0.8,0.07384775963672033,0,0.35,0.32,0.27,0.07,0
MN,2015,5489594,0.4973100014317999,0.8091017295632428,0.058340744324625826,0.05137720567313357,0.3007391519687802,28.6,0.2162938769753954,0.0001531989433098331,0.0012214018012989666,0.0012348818510075608,13.7,0.49,0.10547228082805395,0,0.35,0.32,0.27,0.07,0
MN,2016,5519952,0.4978206332228976,0.8051127980823022,0.060020087131192446,0.05225770079160109,0.30510615530989094,28.2,0.20605032641796417,0.00016105212509094283,0.0011688507436296547,0.0012447572007872531,12.6,0.54,0.07554413516639275,0,0.35,0.32,0.27,0.07,0
MN,2017,5576606,0.49863913642097,0.7988830482196518,0.06475802665635694,0.05319830735755762,0.3051703262726283,28.4,0.21542684305835993,0.00019868715846161627,0.00117634274323845,0.0012575749479163492,14.6,0.98,0.07567326793393687,0,0.35,0.32,0.27,0.07,0
MN,2018,5611179,0.497931005230808,0.7940199376993676,0.06552152408611452,0.05489274179276762,0.3080603573850464,28.4,0.20672994814153897,0.00019977976108051445,0.0010910363044914447,0.0011869163325568476,10.4,0.57,0.08875140144343996,0,0.35,0.32,0.27,0.07,0
MN,2019,5639632,0.4972338620675959,0.7894022163148233,0.06565871673896453,0.05571586940424482,0.3050720891108206,27.6,0.19838922604666662,0.00029310423091435755,0.0011213497618284313,0.0011270238909205424,6.6,0.65,0.09468702922460188,0,0.35,0.32,0.27,0.07,0
MS,2011,2978512,0.48569017012521687,0.5768695912589911,0.37446852656628543,0.027232725602582768,0.41816915389287374,33.1,0.24626143021744992,0.0004196726419097858,0.00035453944788538705,0.00046096842987370875,42.2,4.44,0.0654689321379266,0,0.45,0.3,0.19,0.06,0
MS,2012,2984926,0.48311817445390604,0.5752953339546776,0.37643144252152316,0.026841871456779832,0.4153947263516498,32.4,0.23369461820068604,0.00045930786893879445,0.000349087381060703,0.0005165957213009636,50.8,4.23,0.06298313593033797,0,0.45,0.3,0.19,0.06,0
MS,2013,2991207,0.485166021609337,0.5737082054167432,0.3771989033189612,0.026897168935483235,0.42259832084338445,30.7,0.22998538702043303,0.00044129343104639697,0.00036206120138124843,0.0005880569281898578,49.1,9.07,0.0588391241395196,0,0.45,0.3,0.19,0.06,0
MS,2014,2994079,0.48690365217484244,0.5720533760131246,0.3782652361544234,0.026908441627625724,0.42286306505753346,30.9,0.22115664133168134,0.00027420786158281063,0.0004692594951569414,0.0005367259848521031,38.5,2.08,0.06913645231137856,0,0.45,0.3,0.19,0.06,0
MS,2015,2992333,0.4840687851251849,0.5698042296763094,0.3771221317948236,0.028659243473236434,0.43082124710056174,31.4,0.2229459585526754,0.00028138579496332796,0.00038130782904175435,0.0005006127326069659,43.8,4.7,0.07084772984824884,0,0.45,0.3,0.19,0.06,0
