year	state	hmls_es	hmls_th	hmls_sh	hmls_unsh	es	th	sh	rrh	psh	oph
2014	VA	4281	1987	62	690	3816	2394	64	2062	3582	138
2014	VI	51	34	0	363	84	43	0	0	22	0
2014	VT	1031	359	6	163	653	381	6	138	598	0
2014	WA	6202	6296	42	5902	7209	7632	45	3207	9046	491
2014	WI	3111	2541	60	343	3436	3004	64	418	2675	0
2014	WV	1189	381	13	430	1363	589	13	73	1219	108
2014	WY	268	295	0	194	445	370	0	67	236	0
2015	AK	1127	512	0	317	1184	676	0	35	776	71
2015	AL	1574	1349	20	1027	1868	1711	34	720	2995	210
2015	AR	1161	515	2	882	1727	759	0	124	708	328
2015	AZ	3395	3504	40	2957	3692	3741	40	1543	6789	1322
2015	CA	22750	19128	161	73699	20857	24900	172	6673	50221	1745
2015	CO	3782	3328	24	2819	3263	4365	25	849	3334	10
2015	CT	2418	1003	0	626	2295	1104	0	406	6216	0
2015	DC	5085	1669	0	544	4843	2120	0	2921	5679	0
2015	DE	529	387	0	37	588	558	0	176	727	0
2015	FL	9894	8865	124	17017	10891	10997	138	3126	16271	1483
2015	GA	3984	4003	0	5803	4416	4803	0	991	8319	28
2015	GU	73	14	0	1193	132	22	0	0	104	0
2015	HI	1257	2494	26	3843	1404	2934	25	54	1305	0
2015	IA	1225	1653	0	203	1615	1991	0	271	1022	241
2015	ID	790	707	0	469	939	920	0	306	854	0
2015	IL	4684	5694	85	2714	4918	6977	80	976	12162	272
2015	IN	3082	2150	48	583	3715	2746	50	1248	3171	132
2015	KS	1353	918	12	305	1844	1115	20	186	1400	12
2015	KY	2281	1515	0	742	2320	1767	0	212	3347	98
2015	LA	1306	1545	39	1191	1931	2055	42	814	4634	27
2015	MA	17444	3052	46	593	13961	3693	53	2515	11088	1904
2015	MD	3953	2543	98	1796	3014	2953	109	601	7405	284
2015	ME	1085	1215	13	59	1204	1357	15	173	2764	0
2015	MI	5393	3996	55	1072	5634	4622	81	1729	8026	8395
2015	MN	3764	2941	0	841	3639	3140	0	3229	12372	228
2015	MO	3379	1973	59	1071	4128	2514	58	907	5016	148
2015	MS	523	618	0	842	729	769	0	262	314	0
2015	MT	535	302	0	872	761	463	0	50	550	23
2015	NC	5672	2588	0	2425	6062	3275	0	1340	6250	0
2015	ND	640	179	0	486	770	196	0	16	746	0
2015	NE	1493	1128	0	123	1559	1414	0	417	1024	181
2015	NH	770	535	8	132	748	612	9	116	1110	0
2015	NJ	6877	2225	22	974	4618	3099	20	1201	5939	152
2015	NM	1387	788	0	454	1265	1012	0	336	2049	0
2015	NV	3251	1262	15	4215	2904	1537	25	447	2587	56
