statecode	year	illicitusepastmon	illicitusepastmon_pcp
IA	2013	188000.0	0.060833234101816715
IA	2012	190000.0	0.06180497861873029
IA	2011	161000.0	0.052574707516452455
KS	2014	188000.0	0.06473782386559877
KS	2015	292000.0	0.10028708896460793
KS	2016	191000.0	0.06569694309716027
KS	2017	197000.0	0.06762501960953932
KS	2018	210000.0	0.07212752145793763
KS	2019	240000.0	0.08238040938944446
KS	2021	318000.0	0.10836296276607707
KS	2013	141000.0	0.04872221667426296
KS	2012	127000.0	0.04400699260717175
KS	2011	155000.0	0.05398368230010887
KY	2014	306000.0	0.06933340463042917
KY	2015	449000.0	0.10146681696109369
KY	2016	320000.0	0.07212122496097566
KY	2017	336000.0	0.07543460773667215
KY	2018	379000.0	0.08481779392274912
KY	2019	425000.0	0.09512782157512423
KY	2021	434000.0	0.09624353072718862
KY	2013	263000.0	0.05983671175654876
KY	2012	259000.0	0.05912681789282522
KY	2011	249000.0	0.05698780323690723
LA	2014	324000.0	0.06968227463591012
LA	2015	427000.0	0.09142051639103488
LA	2016	341000.0	0.07283731902275814
LA	2017	356000.0	0.07599801295082993
LA	2018	369000.0	0.0791849231906245
LA	2019	360000.0	0.07743943913195551
LA	2021	550000.0	0.11894342769439843
LA	2013	295000.0	0.06377730263086778
LA	2012	260000.0	0.05649848877407623
LA	2011	251000.0	0.0548653547362135
ME	2014	155000.0	0.11653355527336892
ME	2015	227000.0	0.17076297196779125
ME	2016	171000.0	0.12842861209226733
ME	2017	189000.0	0.14147691418639172
ME	2018	203000.0	0.15167318687033213
ME	2019	220000.0	0.1636646600387439
ME	2021	241000.0	0.17562435917149027
ME	2013	130000.0	0.09786930984068382
ME	2012	114000.0	0.08576639040860914
ME	2011	109000.0	0.08206669537746163
MD	2014	535000.0	0.08951866899292502
MD	2015	757000.0	0.12603221130257536
MD	2016	579000.0	0.0962362005349669
MD	2017	599000.0	0.09897265066768536
MD	2018	584000.0	0.09664525135874287
MD	2019	644000.0	0.10652234322689921
MD	2021	768000.0	0.12457160263799832
MD	2013	440000.0	0.07421383096180788
MD	2012	356000.0	0.060497270570473966
MD	2011	355000.0	0.06090981418388827
MA	2014	759000.0	0.11252099205859749
MA	2015	1058000.0	0.15571596818684502
MA	2016	818000.0	0.12008610379168203
MA	2017	940000.0	0.1370298545777957
MA	2018	939000.0	0.13604458553415755
MA	2019	1008000.0	0.14624585582334892
MA	2021	1102000.0	0.15777289951226411
MA	2013	658000.0	0.09831425419225129
MA	2012	616000.0	0.09268532249677407
MA	2011	647000.0	0.09821578204658009
MI	2014	975000.0	0.09838669036961811
MI	2015	1266000.0	0.12758783606192586
MI	2016	1024000.0	0.10313951028877048
MI	2017	1129000.0	0.11332711857720563
MI	2018	1218000.0	0.12184977563334622
MI	2019	1312000.0	0.13137266309110063
MI	2021	1627000.0	0.16187748431444984
MI	2013	954000.0	0.09640626935830815
MI	2012	905000.0	0.09156804973207493
MI	2011	889000.0	0.09001449648533387
MN	2014	403000.0	0.07384775963672033
MN	2015	579000.0	0.10547228082805395
MN	2016	417000.0	0.07554413516639275
MN	2017	422000.0	0.07567326793393687
MN	2018	498000.0	0.08875140144343996
MN	2019	534000.0	0.09468702922460188
MN	2021	672000.0	0.11774208526138918
MN	2013	343000.0	0.06327969625745797
MN	2012	369000.0	0.06859833887914032
MN	2011	362000.0	0.06772860884501954
MS	2014	207000.0	0.06913645231137856
MS	2015	212000.0	0.07084772984824884
MS	2016	197000.0	0.06591437287994951
MS	2017	227000.0	0.07606983680171577
MS	2018	214000.0	0.0716550645732673
MS	2019	225000.0	0.07560105357628263
MS	2021	325000.0	0.110170798636594
MS	2013	176000.0	0.0588391241395196
MS	2012	188000.0	0.06298313593033797
MS	2011	195000.0	0.0654689321379266
MO	2014	465000.0	0.07668725568306163
MO	2015	683000.0	0.11226772252021476
MO	2016	523000.0	0.08583620548170032
MO	2017	526000.0	0.08603864345520723
MO	2018	521000.0	0.08504106455090156
MO	2019	543000.0	0.08847354298901755
MO	2021	759000.0	0.12305074408412067
MO	2013	443000.0	0.07329375691058376
MO	2012	372000.0	0.06177362027290655
MO	2011	362000.0	0.06022605066175453
MT	2014	95000.0	0.09281159539224623
MT	2015	133000.0	0.128757566927312
MT	2016	115000.0	0.1103096343475425
MT	2017	126000.0	0.11994368358475496
MT	2018	140000.0	0.1317888930203661
MT	2019	147000.0	0.13754025625527472
MT	2021	163000.0	0.1476086938803971
MT	2013	94000.0	0.09259578492166298
